file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
BorowskaNatalia__mini_data_platform__docker-compose.yml.yml,8213,0.013,True,True,True,262,226,False,57,0.217557,57,0.217557,not requested,
BrianTz79__Portafolio-Brian__docker-compose.yml.yml,298,0.0043,True,True,True,15,14,False,1,0.066667,1,0.066667,not requested,
Broseki__Broseki-Website__docker-compose.yml.yml,78,0.0041,True,True,True,6,6,True,0,0.0,0,0.0,not requested,
ByteMeDirk__semantic-medallion-data-platform__docker-compose.yml.yml,983,0.0059,True,True,True,44,41,False,5,0.113636,5,0.113636,not requested,
CEIJ-GPSDE__GoTracker__docker-compose.yml.yml,2582,0.0086,True,True,True,108,98,False,18,0.166667,18,0.166667,not requested,
CJLove__homelab__ArtifactKeeper_docker-compose.yml.yml,28510,0.0143,True,True,True,636,342,False,310,0.487421,310,0.487421,not requested,
CMU-313__docker-intro__docker-compose.yml_1.txt.yml,177,0.0038,True,True,True,10,9,False,2,0.2,2,0.2,not requested,
CMU-313__docker-intro__docker-compose.yml_2.txt.yml,232,0.0038,True,True,True,15,13,False,3,0.2,3,0.2,not requested,
CNR-ISMAR__iws__docker-compose.yml.old.yml,9649,0.0109,True,True,True,306,242,False,123,0.401961,123,0.401961,not requested,
CarMi0Proggramer__php-erp-challenge__docker-compose.yml.yml,232,0.0047,True,True,True,10,10,True,0,0.0,0,0.0,not requested,
ChasakisD__MudDataGridEfCore__Api_docker-compose.yml.yml,417,0.0039,True,True,True,20,18,False,19,0.95,19,0.95,not requested,
CilentoX__wpp-sherek-multi__docker-compose.yml.yml,259,0.004,True,True,True,10,10,False,1,0.1,1,0.1,not requested,
CodesWhat__drydock__test_qa-compose.yml.yml,24468,0.0185,True,True,True,636,428,False,212,0.333333,212,0.333333,not requested,
DDS-Solutions__AI-TadPole-OS__docker-compose.yml.yml,2547,0.0045,True,True,True,73,61,False,13,0.178082,13,0.178082,not requested,
